variant,splay_deg,outer_axis_in,pair,offset,pose,min_clearance_mm,frac_phase_gt_20mm
base,0.0,5.5,FR-MR,tripod_pi,stance,-74.83876582064806,0.5694444444444444
base,0.0,5.5,FR-MR,tripod_pi,lifted,-74.83876582064815,0.5694444444444444
base,0.0,5.5,FR-MR,inphase_0,stance,116.59933198014386,1.0
base,0.0,5.5,FR-MR,inphase_0,lifted,116.59933198014386,1.0
base,0.0,5.5,MR-RR,tripod_pi,stance,-74.8387658206481,0.5694444444444444
base,0.0,5.5,MR-RR,tripod_pi,lifted,-74.83876582064815,0.5694444444444444
base,0.0,5.5,MR-RR,inphase_0,stance,116.59933198014386,1.0
base,0.0,5.5,MR-RR,inphase_0,lifted,116.59933198014386,1.0
A-20ctrl,-20.0,5.5,FR-MR,tripod_pi,stance,-89.06658662738778,0.4583333333333333
A-20ctrl,-20.0,5.5,FR-MR,tripod_pi,lifted,-89.06658662738778,0.4583333333333333
A-20ctrl,-20.0,5.5,FR-MR,inphase_0,stance,-83.27354149457683,0.0
A-20ctrl,-20.0,5.5,FR-MR,inphase_0,lifted,-83.27354149457683,0.0
A-20ctrl,-20.0,5.5,MR-RR,tripod_pi,stance,-89.06658662738778,0.4583333333333333
A-20ctrl,-20.0,5.5,MR-RR,tripod_pi,lifted,-89.06658662738778,0.4583333333333333
A-20ctrl,-20.0,5.5,MR-RR,inphase_0,stance,-83.2735414945768,0.0
A-20ctrl,-20.0,5.5,MR-RR,inphase_0,lifted,-83.2735414945768,0.0
B,0.0,2.5,FR-MR,tripod_pi,stance,-74.83876582064809,0.625
B,0.0,2.5,FR-MR,tripod_pi,lifted,-74.83876582064818,0.625
B,0.0,2.5,FR-MR,inphase_0,stance,185.65998535233658,1.0
B,0.0,2.5,FR-MR,inphase_0,lifted,185.65998535233658,1.0
B,0.0,2.5,MR-RR,tripod_pi,stance,-74.83876582064818,0.625
B,0.0,2.5,MR-RR,tripod_pi,lifted,-74.83876582064818,0.625
B,0.0,2.5,MR-RR,inphase_0,stance,185.65998535233658,1.0
B,0.0,2.5,MR-RR,inphase_0,lifted,185.65998535233658,1.0
A10,10.0,5.5,FR-MR,tripod_pi,stance,-62.39428187675604,0.6388888888888888
